id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy
120;2. neděle v mezidobí;;40;;;;0
121;3. neděle v mezidobí;;40;;;;0
122;4. neděle v mezidobí;;40;;;;0
123;5. neděle v mezidobí;;40;;;;0
124;6. neděle v mezidobí;;40;;;;0
125;7. neděle v mezidobí;;40;;;;0
126;8. neděle v mezidobí;;40;;;;0
127;9. neděle v mezidobí;;40;;;;0
128;10. neděle v mezidobí;;40;;;;0
129;11. neděle v mezidobí;;40;;;;0
130;12. neděle v mezidobí;;40;;;;0
131;13. neděle v mezidobí;;40;;;;0
132;14. neděle v mezidobí;;40;;;;0
133;15. neděle v mezidobí;;40;;;;0
134;16. neděle v mezidobí;;40;;;;0
135;17. neděle v mezidobí;;40;;;;0
136;18. neděle v mezidobí;;40;;;;0
137;19. neděle v mezidobí;;40;;;;0
138;20. neděle v mezidobí;;40;;;;0
139;21. neděle v mezidobí;;40;;;;0
140;22. neděle v mezidobí;;40;;;;0
141;23. neděle v mezidobí;;40;;;;0
142;24. neděle v mezidobí;;40;;;;0
143;25. neděle v mezidobí;;40;;;;0
144;26. neděle v mezidobí;;40;;;;0
145;27. neděle v mezidobí;;40;;;;0
146;28. neděle v mezidobí;;40;;;;0
147;29. neděle v mezidobí;;40;;;;0
148;30. neděle v mezidobí;;40;;;;0
149;31. neděle v mezidobí;;40;;;;0
150;32. neděle v mezidobí;;40;;;;0
151;33. neděle v mezidobí;;40;;;;0
152;Ježíše Krista Krále;;40;;;;0
153;Velký pátek;;40;;;;0
154;Bílá sobota;;40;;;;0
155;Zmrtvýchvstání Páně;;40;;;;0
156;1. neděle adventní;;40;;;;0
157;2. neděle adventní;;40;;;;0
158;3. neděle adventní;;40;;;;0
159;4. neděle adventní;;40;;;;0
160;Popeleční středa;;40;;;;0
161;1. neděle postní;;40;;;;0
162;2. neděle postní;;40;;;;0
163;3. neděle postní;;40;;;;0
164;4. neděle postní;;40;;;;0
165;5. neděle postní;;40;;;;0
166;Květná neděle;;40;;;;0
167;Pondělí Svatého týdne;;40;;;;0
168;Úterý Svatého týdne;;40;;;;0
169;Středa Svatého týdne;;40;;;;0
170;Čtvrtek Svatého týdne;;40;;;;0
171;Pondělí v oktávu velikonočním;;40;;;;0
172;Úterý v oktávu velikonočním;;40;;;;0
173;Středa v oktávu velikonočním;;40;;;;0
174;Čtvrtek v oktávu velikonočním;;40;;;;0
175;Pátek v oktávu velikonočním;;40;;;;0
176;Sobota v oktávu velikonočním;;40;;;;0
177;2. neděle velikonoční (Božího milosrdenství);;40;;;;0
178;3. neděle velikonoční;;40;;;;0
179;4. neděle velikonoční;;40;;;;0
180;5. neděle velikonoční;;40;;;;0
181;6. neděle velikonoční;;40;;;;0
182;Nanebevstoupení Páně;;40;;;;0
183;7. neděle velikonoční;;40;;;;0
184;Seslání Ducha Svatého;;40;;;;0
185;"Matky Boží, Panny Marie";;40;;;;0
186;"Rodiny Ježíše, Marie a Josefa";;40;;;;0
187;Křtu Páně;;40;;;;0
188;2. neděle po Narození Páně;;40;;;;0
189;17. prosince;;40;;;;0
190;18. prosince;;40;;;;0
191;19. prosince;;40;;;;0
192;20. prosince;;40;;;;0
193;21. prosince;;40;;;;0
194;22. prosince;;40;;;;0
195;23. prosince;;40;;;;0
196;24. prosince;;40;;;;0
197;Narození Páně;;40;;;;0
198;29. prosince;;40;;;;0
199;30. prosince;;40;;;;0
200;31. prosince;;40;;;;0
201;Čtvrtek po Popeleční středě;;40;;;;0
202;Pátek po Popeleční středě;;40;;;;0
203;Sobota po Popeleční středě;;40;;;;0
204;Pondělí po 1. neděli postní;;40;;;;0
205;Úterý po 1. neděli postní;;40;;;;0
206;Středa po 1. neděli postní;;40;;;;0
207;Čtvrtek po 1. neděli postní;;40;;;;0
208;Pátek po 1. neděli postní;;40;;;;0
209;Sobota po 1. neděli postní;;40;;;;0
210;Pondělí po 2. neděli postní;;40;;;;0
211;Úterý po 2. neděli postní;;40;;;;0
212;Středa po 2. neděli postní;;40;;;;0
213;Čtvrtek po 2. neděli postní;;40;;;;0
214;Pátek po 2. neděli postní;;40;;;;0
215;Sobota po 2. neděli postní;;40;;;;0
216;Pondělí po 3. neděli postní;;40;;;;0
217;Úterý po 3. neděli postní;;40;;;;0
218;Středa po 3. neděli postní;;40;;;;0
219;Čtvrtek po 3. neděli postní;;40;;;;0
220;Pátek po 3. neděli postní;;40;;;;0
221;Sobota po 3. neděli postní;;40;;;;0
222;Pondělí po 4. neděli postní;;40;;;;0
223;Úterý po 4. neděli postní;;40;;;;0
224;Středa po 4. neděli postní;;40;;;;0
225;Čtvrtek po 4. neděli postní;;40;;;;0
226;Pátek po 4. neděli postní;;40;;;;0
227;Sobota po 4. neděli postní;;40;;;;0
228;Pondělí po 5. neděli postní;;40;;;;0
229;Úterý po 5. neděli postní;;40;;;;0
230;Středa po 5. neděli postní;;40;;;;0
231;Čtvrtek po 5. neděli postní;;40;;;;0
232;Pátek po 5. neděli postní;;40;;;;0
233;Sobota po 5. neděli postní;;40;;;;0
234;pondělí po 1. neděli adventní;;40;;;;0
235;úterý po 1. neděli adventní;;40;;;;0
236;středa po 1. neděli adventní;;40;;;;0
237;čtvrtek po 1. neděli adventní;;40;;;;0
238;pátek po 1. neděli adventní;;40;;;;0
