id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy;order;lit_day_identificator
120;2. neděle v mezidobí;;40;;;;0;;ordinary_time_1_sunday
121;3. neděle v mezidobí;;40;;;;0;;ordinary_time_2_sunday
122;4. neděle v mezidobí;;40;;;;0;;ordinary_time_3_sunday
123;5. neděle v mezidobí;;40;;;;0;;ordinary_time_4_sunday
124;6. neděle v mezidobí;;40;;;;0;;ordinary_time_5_sunday
125;7. neděle v mezidobí;;40;;;;0;;ordinary_time_6_sunday
126;8. neděle v mezidobí;;40;;;;0;;ordinary_time_7_sunday
127;9. neděle v mezidobí;;40;;;;0;;ordinary_time_8_sunday
128;10. neděle v mezidobí;;40;;;;0;;ordinary_time_9_sunday
129;11. neděle v mezidobí;;40;;;;0;;ordinary_time_10_sunday
130;12. neděle v mezidobí;;40;;;;0;;ordinary_time_11_sunday
131;13. neděle v mezidobí;;40;;;;0;;ordinary_time_12_sunday
132;14. neděle v mezidobí;;40;;;;0;;ordinary_time_13_sunday
133;15. neděle v mezidobí;;40;;;;0;;ordinary_time_14_sunday
134;16. neděle v mezidobí;;40;;;;0;;ordinary_time_15_sunday
135;17. neděle v mezidobí;;40;;;;0;;ordinary_time_16_sunday
136;18. neděle v mezidobí;;40;;;;0;;ordinary_time_17_sunday
137;19. neděle v mezidobí;;40;;;;0;;ordinary_time_18_sunday
138;20. neděle v mezidobí;;40;;;;0;;ordinary_time_19_sunday
139;21. neděle v mezidobí;;40;;;;0;;ordinary_time_20_sunday
140;22. neděle v mezidobí;;40;;;;0;;ordinary_time_21_sunday
141;23. neděle v mezidobí;;40;;;;0;;ordinary_time_22_sunday
142;24. neděle v mezidobí;;40;;;;0;;ordinary_time_23_sunday
143;25. neděle v mezidobí;;40;;;;0;;ordinary_time_24_sunday
144;26. neděle v mezidobí;;40;;;;0;;ordinary_time_25_sunday
145;27. neděle v mezidobí;;40;;;;0;;ordinary_time_26_sunday
146;28. neděle v mezidobí;;40;;;;0;;ordinary_time_27_sunday
147;29. neděle v mezidobí;;40;;;;0;;ordinary_time_28_sunday
148;30. neděle v mezidobí;;40;;;;0;;ordinary_time_29_sunday
149;31. neděle v mezidobí;;40;;;;0;;ordinary_time_30_sunday
150;32. neděle v mezidobí;;40;;;;0;;ordinary_time_31_sunday
151;33. neděle v mezidobí;;40;;;;0;;ordinary_time_32_sunday
152;Ježíše Krista Krále;;40;;;;0;;ordinary_time_33_sunday
153;Velký pátek;;40;;;;0;;good_friday
154;Bílá sobota;;40;;;;0;;holy_saturday
